rider,course,distance_m,power_w
male_tt,Tokyo,18683,388
male_tt,Tokyo,18743,449
male_tt,Tokyo,18806,449
male_tt,Tokyo,18871,449
male_tt,Tokyo,18939,449
male_tt,Tokyo,19008,449
male_tt,Tokyo,19078,449
male_tt,Tokyo,19148,449
male_tt,Tokyo,19219,449
male_tt,Tokyo,19290,449
male_tt,Tokyo,19361,449
male_tt,Tokyo,19432,449
male_tt,Tokyo,19504,449
male_tt,Tokyo,19575,449
male_tt,Tokyo,19647,449
male_tt,Tokyo,19718,449
male_tt,Tokyo,19790,449
male_tt,Tokyo,19861,449
male_tt,Tokyo,19933,449
male_tt,Tokyo,20004,449
male_tt,Tokyo,20074,449
male_tt,Tokyo,20144,449
male_tt,Tokyo,20214,449
male_tt,Tokyo,20284,449
male_tt,Tokyo,20354,449
male_tt,Tokyo,20425,449
male_tt,Tokyo,20497,449
male_tt,Tokyo,20570,449
male_tt,Tokyo,20644,449
male_tt,Tokyo,20718,449
male_tt,Tokyo,20793,449
male_tt,Tokyo,20867,449
male_tt,Tokyo,20942,449
male_tt,Tokyo,21016,449
male_tt,Tokyo,21091,449
male_tt,Tokyo,21166,449
male_tt,Tokyo,21241,449
male_tt,Tokyo,21316,449
male_tt,Tokyo,21390,449
male_tt,Tokyo,21465,449
male_tt,Tokyo,21540,449
male_tt,Tokyo,21615,449
male_tt,Tokyo,21690,449
male_tt,Tokyo,21765,449
male_tt,Tokyo,21840,449
male_tt,Tokyo,21914,449
male_tt,Tokyo,21989,449
male_tt,Tokyo,22064,449
male_tt,Tokyo,22138,449
male_tt,Tokyo,22211,449
female_tt,Tokyo,9,312
female_tt,Tokyo,57,312
female_tt,Tokyo,111,312
female_tt,Tokyo,168,312
female_tt,Tokyo,227,312
female_tt,Tokyo,288,312
female_tt,Tokyo,350,312
female_tt,Tokyo,412,312
female_tt,Tokyo,475,312
female_tt,Tokyo,539,312
female_tt,Tokyo,602,312
female_tt,Tokyo,666,312
female_tt,Tokyo,730,312
female_tt,Tokyo,793,312
female_tt,Tokyo,857,312
female_tt,Tokyo,921,312
female_tt,Tokyo,985,312
female_tt,Tokyo,1049,312
female_tt,Tokyo,1113,312
female_tt,Tokyo,1177,312
female_tt,Tokyo,1241,312
female_tt,Tokyo,1305,312
female_tt,Tokyo,1369,312
female_tt,Tokyo,1433,312
female_tt,Tokyo,1497,312
female_tt,Tokyo,1561,312
female_tt,Tokyo,1625,312
female_tt,Tokyo,1689,312
female_tt,Tokyo,1755,312
female_tt,Tokyo,1824,312
female_tt,Tokyo,1894,312
female_tt,Tokyo,1965,312
female_tt,Tokyo,2038,312
female_tt,Tokyo,2110,312
female_tt,Tokyo,2184,312
female_tt,Tokyo,2257,312
female_tt,Tokyo,2331,312
female_tt,Tokyo,2404,312
female_tt,Tokyo,2481,312
female_tt,Tokyo,2561,312
female_tt,Tokyo,2643,312
female_tt,Tokyo,2727,312
female_tt,Tokyo,2812,312
female_tt,Tokyo,2897,312
female_tt,Tokyo,2983,312
female_tt,Tokyo,3070,312
female_tt,Tokyo,3156,312
female_tt,Tokyo,3242,312
female_tt,Tokyo,3327,312
female_tt,Tokyo,3413,312
female_tt,Tokyo,3498,312
female_tt,Tokyo,3583,312
female_tt,Tokyo,3669,312
female_tt,Tokyo,3754,312
female_tt,Tokyo,3839,312
female_tt,Tokyo,3924,312
female_tt,Tokyo,4009,312
female_tt,Tokyo,4094,312
female_tt,Tokyo,4179,312
female_tt,Tokyo,4264,312
female_tt,Tokyo,4349,312
female_tt,Tokyo,4435,312
female_tt,Tokyo,4519,312
female_tt,Tokyo,4603,312
female_tt,Tokyo,4687,312
female_tt,Tokyo,4770,312
female_tt,Tokyo,4853,312
female_tt,Tokyo,4936,312
female_tt,Tokyo,5018,312
female_tt,Tokyo,5101,312
female_tt,Tokyo,5184,312
female_tt,Tokyo,5266,312
female_tt,Tokyo,5349,312
female_tt,Tokyo,5431,312
female_tt,Tokyo,5514,312
female_tt,Tokyo,5596,312
female_tt,Tokyo,5675,312
female_tt,Tokyo,5748,312
female_tt,Tokyo,5818,312
female_tt,Tokyo,5886,312
female_tt,Tokyo,5952,312
female_tt,Tokyo,6017,312
female_tt,Tokyo,6082,312
female_tt,Tokyo,6145,312
female_tt,Tokyo,6207,280
female_tt,Tokyo,6263,280
female_tt,Tokyo,6315,280
female_tt,Tokyo,6365,280
female_tt,Tokyo,6412,280
female_tt,Tokyo,6458,280
female_tt,Tokyo,6504,280
female_tt,Tokyo,6549,280
female_tt,Tokyo,6594,280
female_tt,Tokyo,6638,280
female_tt,Tokyo,6682,280
female_tt,Tokyo,6727,280
female_tt,Tokyo,6771,280
female_tt,Tokyo,6815,280
female_tt,Tokyo,6859,280
female_tt,Tokyo,6903,280
female_tt,Tokyo,6947,280
female_tt,Tokyo,6992,280
female_tt,Tokyo,7036,280
female_tt,Tokyo,7080,280
female_tt,Tokyo,7124,280
female_tt,Tokyo,7168,280
female_tt,Tokyo,7212,280
female_tt,Tokyo,7256,280
female_tt,Tokyo,7300,280
female_tt,Tokyo,7344,285
female_tt,Tokyo,7387,285
female_tt,Tokyo,7429,285
female_tt,Tokyo,7471,285
female_tt,Tokyo,7513,285
female_tt,Tokyo,7554,285
female_tt,Tokyo,7595,285
female_tt,Tokyo,7637,285
female_tt,Tokyo,7678,285
female_tt,Tokyo,7719,285
female_tt,Tokyo,7761,285
female_tt,Tokyo,7802,285
female_tt,Tokyo,7843,285
female_tt,Tokyo,7884,285
female_tt,Tokyo,7926,285
female_tt,Tokyo,7967,285
